"source","stocklong","reference","year","n","n_units","catch","notes"
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2004,35600,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Atlantic puffin Hernyken Island (number of occupied burrows)","Anker-Nilssen and Aarvak 2006 Tabell 3.1",2005,36080,"number of occupied burrows",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",1987,4350,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",1992,4306,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",1996,2775,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",1997,2359,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",1998,2091,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",1999,2218,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2000,1934,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2002,1298,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2003,1081,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2004,942,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2005,898,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2006,1035,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2007,997,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Foula (nests, occupied)","JNCC Data",2009,509,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1969,3100.076,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 3",1971,3471.3542,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 5",1973,3473.625,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1974,3068.852,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1975,3900.3062,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1976,3403.1782,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1979,4974.866,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1981,6139.407,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1983,4720.9995,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1984,6032.0596,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1985,5516.5845,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1986,4816.657,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1987,6791.88,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1988,7660.1826,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1989,7569.0146,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1990,8160.562,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1991,6574.8623,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1992,6945.0566,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1993,7019.942,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1994,3792.4165,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1995,7631.075,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1996,6303.732,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1997,6563.224,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1998,4368.8164,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",1999,4222.349,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",2000,4666.2935,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",2001,3689.4556,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (nests, completed)","Frederiksen et al 2004 Figure 1",2002,3709.1448,"nests, completed",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1986,4709.3022,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1987,6697.6743,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1988,7604.6514,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1989,7569.7676,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1990,8127.9067,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1991,6488.372,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1992,6906.9766,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1993,6976.744,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1994,3767.442,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1995,7604.6514,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1996,6244.186,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1997,6523.256,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Isle of May (population size)","Rindorf et al 2000 Figure 5",1998,4290.6978,"population size",NA,NA
"Free et al. (in prep)","Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Coulston and Thomas 1985 Figure 3",1968,96.08753,"nests, with eggs",NA,NA
"Free et al. (in prep)","Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Coulston and Thomas 1985 Figure 3",1969,89.990326,"nests, with eggs",NA,NA
"Free et al. (in prep)","Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Coulston and Thomas 1985 Figure 3",1970,98.165764,"nests, with eggs",NA,NA
"Free et al. (in prep)","Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Coulston and Thomas 1985 Figure 3",1971,83.80606,"nests, with eggs",NA,NA
"Free et al. (in prep)","Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Coulston and Thomas 1985 Figure 3",1972,86.34741,"nests, with eggs",NA,NA
"Free et al. (in prep)","Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Coulston and Thomas 1985 Figure 3",1973,79.12368,"nests, with eggs",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1976,2126,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1977,1883,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1978,1914,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1979,1746,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1980,1840,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1981,1704,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1982,1613,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1983,1548,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1984,1384,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1985,1270,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1986,1269,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1987,1632,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Dunnet and Heubeck 1995 Table 7",1988,1503,"nests, max number occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1979,24937.785,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1980,24079.082,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1981,20363.6,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1982,19341.646,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1983,16728.152,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1984,15787.824,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1988,17250.445,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1989,17575.225,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1990,19042.932,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1991,17000.678,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1992,16754.025,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1993,19772.588,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1994,18383.328,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1995,15035.154,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1996,14951.813,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1997,15072.66,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1998,13928.208,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",1999,16497.775,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",2000,15639.134,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",2001,14086.625,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",2002,12942.363,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",2003,12654.963,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",2004,11347.198,"nests, occupied",NA,NA
"Free et al. (in prep)","Black-legged kittiwake Vedoy (nests, occupied)","Anker-Nilssen and Aarvak 2006",2005,12284.413,"nests, occupied",NA,NA
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1976,96.58703544,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1977,97.59782666,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1978,100,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1979,99.79596594,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1980,99.93801827,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1981,107.3788661,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1982,107.0003759,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1983,103.4951452,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1984,98.25313385,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1985,84.67054496,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1986,78.03784864,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1987,76.7913307,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1988,72.7641437,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1989,65.26271406,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1990,49.94194557,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1991,63.29021135,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1992,77.8540042,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot All Shetland Islands colonies (index relative to 1978)","Dunnet and Heubeck 1995 Figure 8",1993,76.43232836,"index relative to 1978",NA,"mean colony index over all colonies"
"Free et al. (in prep)","Common guillemot Isle of May (population size)","Rindorf et al 2000 Figure 5",1986,13571.429,"population size",NA,NA
"Free et al. (in prep)","Common guillemot Isle of May (population size)","Rindorf et al 2000 Figure 5",1987,11596.639,"population size",NA,NA
